task_id,annotator_slot,student_id,row_key,prompt
1,1,,233166b9fac10e0a,Welche Mindestbeteiligungsquote ist für die finanzielle Verbindung im Sinne des § 9 KStG erforderlich?
1,2,,233166b9fac10e0a,Welche Mindestbeteiligungsquote ist für die finanzielle Verbindung im Sinne des § 9 KStG erforderlich?
1,3,,233166b9fac10e0a,Welche Mindestbeteiligungsquote ist für die finanzielle Verbindung im Sinne des § 9 KStG erforderlich?
2,1,,a4f7cad0c12511f8,"Ein Käufer und ein Verkäufer unterzeichnen am 15. März 2025 einen Kaufvertrag über ein Grundstück. Der Vertrag enthält jedoch die aufschiebende Bedingung, dass der Käufer bis 30. Juni 2025 eine Baugenehmigung für sein geplantes Projekt erhält. Die Baugenehmigung wird am 20. Mai 2025 erteilt. Wann entsteht die Grunderwerbsteuerschuld?"
2,2,,a4f7cad0c12511f8,"Ein Käufer und ein Verkäufer unterzeichnen am 15. März 2025 einen Kaufvertrag über ein Grundstück. Der Vertrag enthält jedoch die aufschiebende Bedingung, dass der Käufer bis 30. Juni 2025 eine Baugenehmigung für sein geplantes Projekt erhält. Die Baugenehmigung wird am 20. Mai 2025 erteilt. Wann entsteht die Grunderwerbsteuerschuld?"
2,3,,a4f7cad0c12511f8,"Ein Käufer und ein Verkäufer unterzeichnen am 15. März 2025 einen Kaufvertrag über ein Grundstück. Der Vertrag enthält jedoch die aufschiebende Bedingung, dass der Käufer bis 30. Juni 2025 eine Baugenehmigung für sein geplantes Projekt erhält. Die Baugenehmigung wird am 20. Mai 2025 erteilt. Wann entsteht die Grunderwerbsteuerschuld?"
3,1,,f15af5ce787059ff,Ein in Ungarn wohnender Arbeitnehmer übernachtet von Montag bis Donnerstag regelmäßig am österreichischen Arbeitsort und fährt nur am Wochenende heim. Kann dadurch ein gewöhnlicher Aufenthalt in Österreich entstehen?
3,2,,f15af5ce787059ff,Ein in Ungarn wohnender Arbeitnehmer übernachtet von Montag bis Donnerstag regelmäßig am österreichischen Arbeitsort und fährt nur am Wochenende heim. Kann dadurch ein gewöhnlicher Aufenthalt in Österreich entstehen?
3,3,,f15af5ce787059ff,Ein in Ungarn wohnender Arbeitnehmer übernachtet von Montag bis Donnerstag regelmäßig am österreichischen Arbeitsort und fährt nur am Wochenende heim. Kann dadurch ein gewöhnlicher Aufenthalt in Österreich entstehen?
4,1,,0f5d69fafbf76514,"""Wann gilt die Verwendung eines dem Unternehmen zugeordneten Gegenstandes für private Zwecke oder für den Bedarf des Personals als sonstige Leistung?"""
4,2,,0f5d69fafbf76514,"""Wann gilt die Verwendung eines dem Unternehmen zugeordneten Gegenstandes für private Zwecke oder für den Bedarf des Personals als sonstige Leistung?"""
4,3,,0f5d69fafbf76514,"""Wann gilt die Verwendung eines dem Unternehmen zugeordneten Gegenstandes für private Zwecke oder für den Bedarf des Personals als sonstige Leistung?"""
5,1,,b95280ec8d7ae04e,Was gilt bei einem Forderungsverzicht eines Gesellschafters steuerlich für die Körperschaft?
5,2,,b95280ec8d7ae04e,Was gilt bei einem Forderungsverzicht eines Gesellschafters steuerlich für die Körperschaft?
5,3,,b95280ec8d7ae04e,Was gilt bei einem Forderungsverzicht eines Gesellschafters steuerlich für die Körperschaft?
6,1,,7cba96ca9fe741d9,"Arbeitgeberin A bezahlt ihrer Mitarbeiterin B das Klimaticket Österreich im Wert von 1.095 € jährlich. B pendelt von Mattersburg nach Wien und hat Anspruch auf ein Pendlerpauschale von 2.016 € pro Jahr. Da das Klimaticket steuerfrei ist, bleibt die volle Pendlerpauschale erhalten. Stimmt das?"
6,2,,7cba96ca9fe741d9,"Arbeitgeberin A bezahlt ihrer Mitarbeiterin B das Klimaticket Österreich im Wert von 1.095 € jährlich. B pendelt von Mattersburg nach Wien und hat Anspruch auf ein Pendlerpauschale von 2.016 € pro Jahr. Da das Klimaticket steuerfrei ist, bleibt die volle Pendlerpauschale erhalten. Stimmt das?"
6,3,,7cba96ca9fe741d9,"Arbeitgeberin A bezahlt ihrer Mitarbeiterin B das Klimaticket Österreich im Wert von 1.095 € jährlich. B pendelt von Mattersburg nach Wien und hat Anspruch auf ein Pendlerpauschale von 2.016 € pro Jahr. Da das Klimaticket steuerfrei ist, bleibt die volle Pendlerpauschale erhalten. Stimmt das?"
7,1,,2576f9550ccfec82,"Ein Arbeitnehmer verdient seinen Bonus noch vor dem Umzug nach Österreich, der Bonus wird aber erst nach Begründung des inländischen Wohnsitzes ausbezahlt. Ist der spätere Zufluss für die österreichische Erfassung grundsätzlich relevant?"
7,2,,2576f9550ccfec82,"Ein Arbeitnehmer verdient seinen Bonus noch vor dem Umzug nach Österreich, der Bonus wird aber erst nach Begründung des inländischen Wohnsitzes ausbezahlt. Ist der spätere Zufluss für die österreichische Erfassung grundsätzlich relevant?"
7,3,,2576f9550ccfec82,"Ein Arbeitnehmer verdient seinen Bonus noch vor dem Umzug nach Österreich, der Bonus wird aber erst nach Begründung des inländischen Wohnsitzes ausbezahlt. Ist der spätere Zufluss für die österreichische Erfassung grundsätzlich relevant?"
8,1,,1cb69addf67670b5,"Unterliegen bei beschränkt Steuerpflichtigen Einkünfte, die nach § 98 EStG 1988 nicht steuerpflichtig sind, einem österreichischen Progressionsvorbehalt?"
8,2,,1cb69addf67670b5,"Unterliegen bei beschränkt Steuerpflichtigen Einkünfte, die nach § 98 EStG 1988 nicht steuerpflichtig sind, einem österreichischen Progressionsvorbehalt?"
8,3,,1cb69addf67670b5,"Unterliegen bei beschränkt Steuerpflichtigen Einkünfte, die nach § 98 EStG 1988 nicht steuerpflichtig sind, einem österreichischen Progressionsvorbehalt?"
9,1,,8a7f12a9a7647e38,Ab welcher Umsatzgrenze entfällt die Kleinunternehmerbefreiung?
9,2,,8a7f12a9a7647e38,Ab welcher Umsatzgrenze entfällt die Kleinunternehmerbefreiung?
9,3,,8a7f12a9a7647e38,Ab welcher Umsatzgrenze entfällt die Kleinunternehmerbefreiung?
10,1,,c2437a36bed5cd5c,"Was ist die ""Investitionsprämie"" im Zuge der COVID-Gesetze?"
10,2,,c2437a36bed5cd5c,"Was ist die ""Investitionsprämie"" im Zuge der COVID-Gesetze?"
10,3,,c2437a36bed5cd5c,"Was ist die ""Investitionsprämie"" im Zuge der COVID-Gesetze?"
11,1,,aa3ee552803ec8e2,"""An welchem Ort ist eine Vermittlungsleistung an einen Nichtunternehmer erbracht?"""
11,2,,aa3ee552803ec8e2,"""An welchem Ort ist eine Vermittlungsleistung an einen Nichtunternehmer erbracht?"""
11,3,,aa3ee552803ec8e2,"""An welchem Ort ist eine Vermittlungsleistung an einen Nichtunternehmer erbracht?"""
12,1,,94d1ce0c78f98040,Ein Gesellschafter einer Bau-Offenen-Gesellschaft (OG) arbeitet zusätzlich stundenweise als Bauleiter auf den Baustellen der OG und erhält dafür einen tariflichen Stundenlohn ausbezahlt. Kann er diese Einkünfte als Einkünfte aus nichtselbstständiger Arbeit (Lohnsteuer) geltend machen?
12,2,,94d1ce0c78f98040,Ein Gesellschafter einer Bau-Offenen-Gesellschaft (OG) arbeitet zusätzlich stundenweise als Bauleiter auf den Baustellen der OG und erhält dafür einen tariflichen Stundenlohn ausbezahlt. Kann er diese Einkünfte als Einkünfte aus nichtselbstständiger Arbeit (Lohnsteuer) geltend machen?
